,amount,date,price,tid
0,0.27735408,1426937418,257,282639
1,0.01400000,1426937418,256.9816,282638
2,1.00000000,1426937195,257.0001,282637
3,0.01100000,1426937195,257.0256,282636
4,0.01000000,1426933966,256.4471,282635
5,0.01718963,1426932014,256.4,282634
6,0.02200000,1426932014,256.4383,282633
7,0.01700001,1426932014,256.4916,282632
8,0.01700001,1426932014,256.5432,282631
9,0.00600000,1426932014,256.593,282630
10,0.01000000,1426930823,256.593,282629
11,0.01100000,1426930823,256.6412,282628
12,0.01300000,1426930823,256.6908,282627
13,0.00600000,1426930823,256.7388,282626
14,0.00600000,1426930800,256.7388,282625
15,0.01000000,1426930800,256.7852,282624
16,0.01200000,1426930800,256.83,282623
17,0.01200000,1426930800,256.8733,282622
18,1.01680361,1426929127,258.1299,282621
19,0.01200000,1426928199,257.9918,282620
20,0.23201900,1426926822,258.0384,282619
21,0.77356703,1426926756,258.0384,282618
22,0.02269560,1426926552,258.0384,282617
23,0.01200000,1426926058,256.4392,282616
24,0.01100000,1426926058,256.5455,282615
25,0.08679090,1426926058,257,282614
26,0.66800001,1426926058,257,282613
27,0.08476693,1426926058,257,282612
28,0.04000000,1426926037,257,282611
29,0.04000000,1426926023,257,282610
30,0.01100000,1426926016,257.9698,282609
31,0.01800000,1426926016,257.9171,282608
32,0.01500000,1426926016,257.8662,282607
33,0.02300000,1426926016,257.8222,282606
34,0.01800000,1426926016,257.7796,282605
35,0.01400000,1426926016,257.7386,282604
36,0.01100000,1426926016,257.714,282603
37,0.01700001,1426926016,257.6752,282602
38,0.01000000,1426926016,257.6527,282601
39,0.01200000,1426926016,257.6309,282600
40,0.01300000,1426926016,257.6099,282599
41,0.01700001,1426926016,257.5896,282598
42,0.01200000,1426926016,257.5699,282597
43,0.01500000,1426926016,257.5509,282596
44,0.01300000,1426925519,257.5509,282595
45,0.05517490,1426920544,256.39,282594
46,0.02235903,1426920520,256.39,282593
47,0.01000000,1426920285,257.0705,282592
48,0.01100000,1426920285,257.0475,282591
49,0.00176469,1426920019,256.3602,282590
50,0.01100000,1426920019,256.3795,282589
51,0.01300000,1426920019,256.4018,282588
52,0.02500000,1426919770,257.0943,282587
53,0.59805447,1426919636,257,282586
54,0.55120644,1426919537,256.9999,282585
55,0.01300000,1426919537,256.9787,282584
56,0.01700001,1426919537,256.9581,282583
57,0.03300000,1426919537,256.9382,282582
58,0.50000000,1426918825,257,282581
59,0.29469276,1426918825,257,282580
60,0.01100000,1426918825,257.0453,282579
61,0.02000000,1426918825,257.0936,282578
62,0.20000000,1426918650,258,282577
63,0.02300000,1426918650,258.0155,282576
64,0.01000000,1426918616,259.3953,282575
65,0.01900000,1426918616,259.463,282574
66,0.01100000,1426918616,259.521,282573
67,0.03752882,1426918616,259.5457,282572
68,0.01300000,1426918616,259.608,282571
69,0.02000000,1426918616,259.6645,282570
70,0.01000000,1426918616,259.71,282569
71,0.01200000,1426918616,259.7958,282568
72,0.01300000,1426918616,259.8441,282567
73,0.01200000,1426918616,259.9021,282566
74,0.01000000,1426918616,259.9408,282565
75,0.01400000,1426918616,259.9794,282564
76,0.01113138,1426918600,260,282563
77,0.01200000,1426918600,260.0181,282562
78,0.01100000,1426918600,260.0761,282561
79,0.02000000,1426918600,260.1148,282560
80,0.01500000,1426918600,260.1438,282559
81,0.02200000,1426918600,260.1728,282558
82,0.01300000,1426918600,260.2018,282557
83,0.01600000,1426918600,260.2308,282556
84,0.01400000,1426918600,260.2598,282555
85,0.01200000,1426918600,260.2888,282554
86,0.01300000,1426918600,260.3178,282553
87,0.01200000,1426918600,260.3784,282552
88,3.08570636,1426918600,260.39,282551
89,0.12699241,1426918591,260.39,282550
90,0.05987000,1426918578,260.39,282549
91,0.01900750,1426918499,260.39,282548
92,0.08583443,1426918200,260.39,282547
93,0.01197000,1426918082,260.39,282546
94,0.06685457,1426917849,260.39,282545
95,0.11119695,1426917466,260.39,282544
96,0.07377275,1426917432,260.39,282543
97,0.01000000,1426917421,260.4074,282542
98,0.01100000,1426916818,260.4074,282541
99,0.02610202,1426916113,260.39,282540
100,0.01200000,1426915718,260.4074,282539
101,0.01000000,1426915188,260.4074,282538
102,0.01100000,1426914563,260.4074,282537
103,0.01895011,1426914480,260.39,282536
104,0.01300000,1426914021,260.4074,282535
105,0.01100000,1426913820,260.4074,282534
106,0.01200000,1426913495,260.4074,282533
107,0.03046526,1426913474,260.39,282532
108,0.02305601,1426913406,260.39,282531
109,0.01000000,1426913380,260.4074,282530
110,0.02186807,1426913246,260.39,282529
111,0.01300000,1426912776,260.4074,282528
112,0.01300000,1426912308,260.4074,282527
113,0.01549838,1426912178,260.39,282526
114,0.01300000,1426912017,260.4074,282525
115,0.01077415,1426911119,260.36,282524
116,0.01409867,1426911108,260.36,282523
117,0.01295254,1426910973,260.36,282522
118,0.00050000,1426910816,260.9112,282521
119,0.01000000,1426910816,260.8698,282520
120,0.01000000,1426910816,260.8328,282519
121,0.08000000,1426909823,260.36,282518
122,0.04000000,1426909809,260.36,282517
123,0.32000000,1426909786,260.36,282516
124,0.16000000,1426909771,260.36,282515
125,0.08000000,1426909759,260.36,282514
126,0.04000000,1426909745,260.36,282513
127,0.01200000,1426909618,260.3758,282512
128,0.01300000,1426909118,260.3758,282511
129,0.04000000,1426908543,260.36,282510
130,0.16000000,1426907361,260.36,282509
131,0.08000000,1426907348,260.36,282508
132,0.04000000,1426907336,260.36,282507
133,0.01100000,1426907218,260.3468,282506
134,0.08000000,1426905581,260.27,282505
135,0.04000000,1426905567,260.27,282504
136,0.03743132,1426903963,260.09,282503
137,0.05800000,1426903953,260.09,282502
138,0.01600000,1426903168,260.0638,282501
139,0.01400000,1426903017,260.0444,282500
140,0.01700001,1426902702,260.0444,282499
141,0.10000000,1426902233,260.463,282498
142,0.04000000,1426901916,260.03,282497
143,0.04000000,1426901893,260.03,282496
144,0.59778498,1426901878,260.03,282495
145,0.08000000,1426901868,260.03,282494
146,0.04000000,1426901854,260.03,282493
147,0.08000000,1426901829,260.03,282492
148,0.04000000,1426901814,260.03,282491
149,0.01700001,1426900019,259.855,282490
150,0.02095785,1426899758,260,282489
151,0.08000000,1426899453,259.85,282488
152,0.04000000,1426899440,259.85,282487
153,0.60000000,1426899050,259.81,282486
154,0.01100000,1426898816,259.768,282485
155,0.04000000,1426898681,259.76,282484
156,0.04000000,1426898658,259.76,282483
157,0.01000000,1426898331,259.992,282482
158,0.28796140,1426897919,260,282481
159,0.01000000,1426897889,260,282480
160,0.94100000,1426896983,260,282479
161,0.07015000,1426896919,260,282478
162,1.76181353,1426896339,259.67,282477
163,0.00303000,1426895692,261,282476
164,0.01100000,1426895692,260.951,282475
165,0.01900000,1426895344,259.5747,282474
166,0.01900000,1426894830,259.5457,282473
167,0.29242307,1426894605,260,282472
168,0.01000000,1426894161,259.47,282471
169,0.01385167,1426893937,260,282470
170,0.07443978,1426893150,261,282469
171,0.00199694,1426893150,259.4106,282468
172,0.01200306,1426893088,259.4106,282467
173,0.01100000,1426893077,259.3424,282466
174,0.01600000,1426893057,259.3302,282465
175,0.01200000,1426893057,259.2464,282464
176,0.01200000,1426893057,259.1623,282463
177,0.01800000,1426893057,259.0602,282462
178,0.01300000,1426893057,258.9615,282461
179,0.01000000,1426893057,258.8693,282460
180,0.01400000,1426892951,258.786,282459
181,0.01600000,1426892951,258.7108,282458
182,0.01600000,1426892951,258.6381,282457
183,0.01300000,1426892920,258.5678,282456
184,0.01100000,1426892869,258.4998,282455
185,0.02000000,1426892869,258.4341,282454
186,0.01700001,1426892869,258.377,282453
187,0.01200000,1426892869,258.3198,282452
188,0.01600000,1426892869,258.2665,282451
189,0.00730000,1426892869,258.215,282450
190,0.01300000,1426892816,258.0555,282449
191,0.01200000,1426892249,258.0362,282448
192,0.00270000,1426892243,258.215,282447
193,0.01700001,1426892243,258.1745,282446
194,0.01200000,1426891833,258.0155,282445
195,0.30523000,1426891621,258.174,282444
196,0.01100000,1426891621,258.1374,282443
197,0.01200000,1426891621,258.1021,282442
198,0.01440380,1426891621,258.0679,282441
199,0.01200000,1426891613,258.0119,282440
200,0.01600000,1426891024,258.0119,282439
201,0.01100000,1426890540,258.0119,282438
202,0.01500000,1426890415,258.0119,282437
203,0.00259621,1426889627,258.0679,282436
204,0.01000000,1426889627,258.0335,282435
205,0.01200000,1426889627,258.0002,282434
206,0.01100000,1426889627,257.968,282433
207,0.01700001,1426889627,257.938,282432
208,0.01200000,1426889627,257.909,282431
209,0.01100000,1426889627,257.8787,282430
210,0.00197001,1426889627,257.8161,282429
211,0.01702999,1426889185,257.8161,282428
212,0.02100000,1426889185,257.7579,282427
213,0.00197001,1426889185,257.7016,282426
214,0.01302999,1426889161,257.7016,282425
215,0.01100000,1426889161,257.6472,282424
216,0.01597001,1426889161,257.5966,282423
217,0.00103000,1426888065,257.5966,282422
218,0.01100000,1426888065,257.5477,282421
219,0.15098583,1426884446,256,282420
220,1.16000000,1426884446,256.1,282419
221,0.01300000,1426884446,256.1955,282418
222,0.01300000,1426884446,256.2846,282417
223,0.01600000,1426884446,256.3708,282416
224,0.01300000,1426884446,256.4513,282415
225,0.01100000,1426884446,256.5291,282414
226,0.01000000,1426884446,256.6611,282413
227,0.01200000,1426884446,256.7202,282412
228,0.03498809,1426884446,257,282411
229,0.52102608,1426884446,257,282410
230,0.01200000,1426884446,257.0293,282409
231,0.01800000,1426884446,257.0576,282408
232,0.01500000,1426884446,257.085,282407
233,0.01443617,1426883662,257,282406
234,0.01000000,1426883662,257.0356,282405
235,0.01300000,1426883662,257.0667,282404
236,0.02290130,1426881712,257,282403
237,0.01300000,1426881712,257.0391,282402
238,0.01100000,1426881712,257.0769,282401
239,0.01100000,1426881712,257.1099,282400
240,0.01203000,1426880495,258.174,282399
241,0.04674000,1426879999,258.174,282398
242,0.01400000,1426879999,258.1255,282397
243,0.01400000,1426879999,258.0787,282396
244,0.01600000,1426879648,258.0761,282395
245,0.01000000,1426879613,258.0761,282394
246,0.12346856,1426878541,257,282393
247,0.03778498,1426872378,256.1,282392
248,0.01100000,1426872378,256.5655,282391
249,0.01000000,1426872378,256.6288,282390
250,0.01800000,1426872378,256.7245,282389
251,0.01800000,1426871825,256.817,282388
252,0.01300000,1426871825,256.898,282387
253,0.03667056,1426870194,258,282386
254,0.01400000,1426870194,258.028,282385
255,0.01105100,1426870194,258.0776,282384
256,0.01100000,1426870194,258.1255,282383
257,0.01100000,1426870194,258.1718,282382
258,0.00594901,1426869929,258.0776,282381
259,0.01200000,1426869929,258.1255,282380
260,0.01900000,1426869929,258.1718,282379
261,0.01200000,1426868389,258.0364,282378
262,0.04735179,1426867947,259,282377
263,0.01000001,1426867944,259.0284,282376
264,0.00199999,1426867921,259.0284,282375
265,0.01400000,1426867921,259.0559,282374
266,0.01700001,1426867921,259.0825,282373
267,0.00700000,1426867921,259.1073,282372
268,0.00500000,1426867898,259.1073,282371
269,0.01000000,1426867898,259.1305,282370
270,0.01300000,1426867898,259.1529,282369
271,0.01200000,1426867898,259.221,282368
272,12.65356815,1426867824,261.1951,282367
273,0.01100000,1426867824,261.0859,282366
274,0.01000000,1426867824,261.023,282365
275,2.74458422,1426867824,261,282364
276,0.52965137,1426867824,261,282363
277,0.77091618,1426867824,261,282362
278,0.55553615,1426867824,261,282361
279,1.11511112,1426867824,261,282360
280,0.30113200,1426867824,261,282359
281,0.01200000,1426867824,260.9622,282358
282,0.00486747,1426867824,260.9034,282357
283,0.01000000,1426867824,260.8466,282356
284,0.01000000,1426867824,260.7997,282355
285,0.01100000,1426867824,260.758,282354
286,0.01100000,1426867824,260.7177,282353
287,0.01400000,1426867824,260.6786,282352
288,0.01400000,1426867824,260.5959,282351
289,0.13000000,1426867824,260,282350
290,0.13492330,1426867824,259.9133,282349
291,0.01900000,1426867824,259.8829,282348
292,0.01900000,1426867824,259.8535,282347
293,0.01800000,1426867824,259.8278,282346
294,0.01200000,1426867824,259.8038,282345
295,0.05264821,1426865182,259,282344
296,0.01813000,1426865182,259.5,282343
297,0.01100000,1426864721,259.8995,282342
298,0.01300000,1426864608,259.8995,282341
299,0.01500000,1426864198,259.9833,282340
300,0.01000000,1426864009,259.5133,282339
301,0.01600000,1426863561,259.5124,282338
302,1.02333495,1426863497,259.8729,282337
303,0.02300000,1426863407,259.5124,282336
304,0.37000000,1426863343,259.87,282335
305,0.05987000,1426863255,259.5,282334
306,0.30300000,1426863200,259.8729,282333
307,0.01200000,1426863200,259.8644,282332
308,0.01200000,1426863200,259.7334,282331
309,0.01100000,1426863200,259.6482,282330
310,0.02300000,1426863200,259.563,282329
311,0.01900000,1426863200,259.5218,282328
312,0.01200000,1426863143,259.472,282327
313,0.01800000,1426863090,259.4563,282326
314,0.01300000,1426862990,259.4563,282325
315,0.01200000,1426862807,259.0157,282324
316,0.06674804,1426861743,259,282323
317,0.00303000,1426861743,259.018,282322
318,0.01600000,1426861662,259.505,282321
319,0.01197000,1426861294,259.018,282320
320,1.12600000,1426861263,259.5392,282319
321,0.11535829,1426861221,259.5392,282318
322,0.01300000,1426861191,259.0354,282317
323,0.07262872,1426861168,259.5392,282316
324,0.00197000,1426861123,259,282315
325,0.01000000,1426861123,259.018,282314
326,0.01300000,1426860620,259.5218,282313
327,0.01236807,1426860372,259.5392,282312
328,0.44600000,1426860272,259.5392,282311
329,0.03845276,1426860142,259.5392,282310
330,0.98875237,1426860123,259.5392,282309
331,0.01100000,1426860123,259.442,282308
332,0.04000000,1426860060,259,282307
333,0.02100000,1426859961,259,282306
334,0.02400000,1426859943,259.4273,282305
335,0.10450000,1426859931,258.9999,282304
336,0.01668196,1426859931,258.8389,282303
337,0.00231804,1426859391,258.8389,282302
338,0.01000000,1426859391,258.7475,282301
339,0.01600000,1426859391,258.6726,282300
340,0.01500000,1426859391,258.6002,282299
341,0.01800000,1426859391,258.5302,282298
342,0.01600000,1426859391,258.4659,282297
343,0.02722687,1426857376,256.5,282296
344,0.01200000,1426857376,256.57,282295
345,0.01100000,1426857376,256.6377,282294
346,0.13600001,1426856773,256,282293
347,0.01100000,1426856735,256.0978,282292
348,0.01528939,1426855637,255.9334,282291
349,0.12480000,1426855637,255.94,282290
350,0.01100000,1426855637,256.0139,282289
351,0.01500000,1426855637,256.1073,282288
352,0.01100000,1426855637,256.2011,282287
353,0.01300000,1426855637,256.2918,282286
354,0.01100000,1426855637,256.3794,282285
355,0.01400000,1426855637,256.4641,282284
356,0.01200000,1426855637,256.546,282283
357,0.06000000,1426855637,256.55,282282
358,0.01300000,1426855637,256.6561,282281
