,amount,date,price,tid
132,0.10000000,1426864005,262.78,7784342
133,1.00000000,1426864005,262.78,7784341
134,0.05605139,1426863994,262.63,7784340
135,0.14100000,1426863994,262.60,7784339
136,0.10000000,1426863988,262.59,7784338
137,0.74815000,1426863980,262.58,7784337
138,1.75185000,1426863980,262.58,7784336
139,1.00000000,1426863969,262.53,7784335
140,0.10000000,1426863951,262.50,7784331
141,1.87990000,1426863909,262.41,7784329
142,0.10000000,1426863905,262.40,7784328
143,1.00000000,1426863904,262.39,7784327
144,0.10000000,1426863880,262.28,7784326
145,0.01900000,1426863877,262.10,7784325
146,0.10000000,1426863877,262.26,7784324
147,0.10000000,1426863876,262.08,7784323
148,0.02000000,1426863876,262.05,7784322
149,0.02000000,1426863876,262.00,7784321
150,0.50000000,1426863875,262.00,7784320
151,1.00000000,1426863875,262.00,7784319
152,0.01938000,1426863875,262.00,7784318
153,0.10000000,1426863875,261.97,7784317
154,0.54766306,1426863866,261.88,7784316
155,9.00000000,1426863860,261.88,7784315
156,0.35233694,1426863832,261.88,7784314
157,0.10000000,1426863831,261.88,7784313
158,0.63937964,1426863830,261.85,7784312
159,0.78891000,1426863826,261.85,7784311
160,2.00000000,1426863803,261.85,7784310
161,5.97509934,1426863799,261.85,7784309
162,0.02114356,1426863780,261.83,7784308
163,0.00375710,1426863779,261.83,7784307
164,0.03148217,1426863779,261.83,7784306
165,2.92258631,1426863777,261.84,7784305
166,1.49458339,1426863759,261.84,7784304
167,0.10000000,1426863758,261.84,7784303
168,0.18130661,1426863758,261.84,7784302
169,0.28033661,1426863703,261.83,7784301
170,2.00000000,1426863700,261.83,7784300
171,2.00000000,1426863694,261.83,7784299
172,2.00000000,1426863690,261.83,7784298
173,2.00000000,1426863685,261.83,7784297
174,1.77596000,1426863683,261.83,7784296
175,0.02000000,1426863681,261.83,7784295
176,2.00000000,1426863681,261.83,7784294
177,1.39208000,1426863677,261.84,7784293
178,0.60629661,1426863658,261.83,7784291
179,1.37000000,1426863612,261.83,7784289
180,2.00000000,1426863608,261.83,7784288
181,2.00000000,1426863604,261.83,7784287
182,2.00000000,1426863599,261.83,7784286
183,2.00000000,1426863595,261.83,7784285
184,2.00000000,1426863590,261.83,7784284
185,2.06608055,1426863578,261.83,7784282
186,2.00000000,1426863551,261.83,7784278
187,2.00000000,1426863547,261.83,7784276
188,2.00000000,1426863513,261.83,7784271
189,0.05090000,1426863457,261.84,7784266
190,0.22000000,1426863453,261.84,7784265
191,0.34331800,1426863420,261.84,7784247
192,2.93700000,1426863402,261.81,7784238
193,1.98000000,1426863388,261.81,7784237
194,0.02000000,1426863388,261.82,7784236
195,2.00000000,1426863371,261.81,7784235
196,0.00033000,1426863336,261.85,7784225
197,0.02000000,1426863336,261.84,7784224
198,0.18000000,1426863291,261.81,7784223
199,0.20000000,1426863235,261.81,7784222
200,1.59590000,1426863186,261.85,7784221
201,0.10823470,1426863128,261.83,7784220
202,0.33068265,1426863128,261.82,7784219
203,0.33068265,1426863128,261.82,7784218
204,1.49325236,1426863109,261.81,7784217
205,0.02000000,1426862974,261.81,7784211
206,0.06900000,1426862968,261.82,7784210
207,0.02000000,1426862967,261.81,7784209
208,0.02000000,1426862961,261.81,7784208
209,2.00000000,1426862933,261.81,7784207
210,0.02000000,1426862929,261.81,7784206
211,0.02000000,1426862924,261.81,7784205
212,0.02000000,1426862903,261.81,7784204
213,1.77610000,1426862902,261.81,7784203
214,0.34385663,1426862902,261.81,7784202
215,0.02000000,1426862902,261.74,7784201
216,0.05582602,1426862897,261.81,7784200
217,0.54386282,1426862869,261.80,7784199
218,0.53815000,1426862833,261.80,7784198
219,0.02000000,1426862833,261.72,7784197
220,0.02000000,1426862810,261.65,7784196
221,1.50000000,1426862781,261.51,7784195
222,0.03819564,1426862719,261.81,7784190
223,1.15894156,1426862699,261.50,7784189
224,0.84105844,1426862699,261.52,7784188
225,0.13143287,1426862689,261.65,7784187
226,0.00456693,1426862668,261.82,7784186
227,0.40424958,1426862668,261.81,7784185
228,0.36005764,1426862630,261.82,7784184
229,0.23569278,1426862611,261.82,7784183
230,0.05873212,1426862611,261.81,7784182
231,0.04000000,1426862611,261.76,7784181
232,0.36920649,1426862611,261.76,7784180
233,0.30636861,1426862611,261.71,7784179
