,amount,date,price,tid
151,1.34160000,1426870737,260.89,7785186
152,0.88728346,1426870702,260.89,7785185
153,0.46471654,1426870702,260.19,7785184
154,0.07450000,1426870591,260.82,7785183
155,0.14900000,1426870586,260.82,7785182
156,0.07450000,1426870581,260.82,7785181
157,0.07450000,1426870576,260.82,7785180
158,0.18600000,1426870571,260.82,7785179
159,0.18600000,1426870566,260.82,7785178
160,0.14900000,1426870561,260.82,7785177
161,0.07450000,1426870556,260.88,7785176
162,0.14900000,1426870551,260.88,7785170
163,0.07450000,1426870546,260.88,7785168
164,0.00359500,1426870541,260.88,7785167
165,0.07090500,1426870541,260.59,7785166
166,0.07450000,1426870536,260.59,7785165
167,0.14900000,1426870531,260.59,7785164
168,0.37200000,1426870526,260.59,7785163
169,0.14479500,1426870503,260.59,7785162
