Time,Open,High,Low,Close,Volume
17.03.2015 00:00:00.000,1.05715,1.05715,1.05705,1.05707,118330001.8311
17.03.2015 00:01:00.000,1.05706,1.05732,1.05697,1.05697,78599998.4741
17.03.2015 00:02:00.000,1.05697,1.05697,1.05680,1.05683,76580001.8311
17.03.2015 00:03:00.000,1.05684,1.05699,1.05684,1.05688,61419998.1689
17.03.2015 00:04:00.000,1.05688,1.05688,1.05665,1.05666,93300003.0518
17.03.2015 00:05:00.000,1.05667,1.05674,1.05650,1.05659,92750000.0000
17.03.2015 00:06:00.000,1.05659,1.05676,1.05659,1.05668,90819999.6948
17.03.2015 00:07:00.000,1.05668,1.05670,1.05668,1.05669,101300003.0518
17.03.2015 00:08:00.000,1.05669,1.05699,1.05669,1.05699,52790000.9155
17.03.2015 00:09:00.000,1.05698,1.05701,1.05685,1.05685,117300003.0518
17.03.2015 00:10:00.000,1.05685,1.05685,1.05677,1.05678,16059999.4659
17.03.2015 00:11:00.000,1.05678,1.05679,1.05675,1.05676,27110000.6104
17.03.2015 00:12:00.000,1.05676,1.05678,1.05676,1.05678,16370000.8392
17.03.2015 00:13:00.000,1.05677,1.05699,1.05676,1.05699,64250000.0000
17.03.2015 00:14:00.000,1.05699,1.05699,1.05685,1.05685,27239999.7711
17.03.2015 00:15:00.000,1.05684,1.05686,1.05676,1.05685,44259998.3215
17.03.2015 00:16:00.000,1.05685,1.05686,1.05684,1.05685,36330001.8311
17.03.2015 00:17:00.000,1.05685,1.05685,1.05676,1.05677,57470001.2207
17.03.2015 00:18:00.000,1.05678,1.05678,1.05676,1.05677,17270000.4578
17.03.2015 00:19:00.000,1.05678,1.05685,1.05678,1.05685,13399999.6185
17.03.2015 00:20:00.000,1.05685,1.05685,1.05685,1.05685,11529999.7330
17.03.2015 00:21:00.000,1.05684,1.05695,1.05671,1.05673,58970001.2207
17.03.2015 00:22:00.000,1.05673,1.05674,1.05656,1.05659,67720001.2207
17.03.2015 00:23:00.000,1.05659,1.05659,1.05643,1.05645,62819999.6948
17.03.2015 00:24:00.000,1.05644,1.05645,1.05643,1.05645,55450000.7629
17.03.2015 00:25:00.000,1.05645,1.05647,1.05636,1.05636,25790000.9155
17.03.2015 00:26:00.000,1.05635,1.05649,1.05618,1.05637,137630004.8828
17.03.2015 00:27:00.000,1.05637,1.05637,1.05621,1.05637,121389999.3896
17.03.2015 00:28:00.000,1.05637,1.05645,1.05636,1.05642,39389999.3896
17.03.2015 00:29:00.000,1.05642,1.05663,1.05640,1.05660,98849998.4741
17.03.2015 00:30:00.000,1.05657,1.05658,1.05611,1.05657,193699996.9482
17.03.2015 00:31:00.000,1.05656,1.05670,1.05656,1.05662,95150001.5259
17.03.2015 00:32:00.000,1.05661,1.05662,1.05640,1.05654,111089996.3379
17.03.2015 00:33:00.000,1.05654,1.05675,1.05647,1.05675,131009994.5068
17.03.2015 00:34:00.000,1.05675,1.05675,1.05645,1.05647,121769996.6431
17.03.2015 00:35:00.000,1.05646,1.05647,1.05634,1.05635,147740005.4932
17.03.2015 00:36:00.000,1.05636,1.05656,1.05636,1.05638,65349998.4741
17.03.2015 00:37:00.000,1.05640,1.05658,1.05640,1.05658,101430000.3052
17.03.2015 00:38:00.000,1.05657,1.05660,1.05657,1.05660,42439998.6267
17.03.2015 00:39:00.000,1.05663,1.05680,1.05660,1.05675,132839996.3379
17.03.2015 00:40:00.000,1.05675,1.05680,1.05664,1.05675,99010002.1362
17.03.2015 00:41:00.000,1.05675,1.05675,1.05664,1.05666,26440000.5341
17.03.2015 00:42:00.000,1.05667,1.05668,1.05644,1.05644,74430000.3052
17.03.2015 00:43:00.000,1.05644,1.05645,1.05644,1.05645,46349998.4741
17.03.2015 00:44:00.000,1.05645,1.05663,1.05645,1.05654,143289993.2861
17.03.2015 00:45:00.000,1.05654,1.05655,1.05637,1.05645,104949996.9482
17.03.2015 00:46:00.000,1.05646,1.05655,1.05646,1.05655,35610000.6104
17.03.2015 00:47:00.000,1.05655,1.05660,1.05646,1.05648,74440002.4414
17.03.2015 00:48:00.000,1.05648,1.05656,1.05646,1.05647,27559999.4659
17.03.2015 00:49:00.000,1.05645,1.05661,1.05639,1.05660,42369998.9319
17.03.2015 00:50:00.000,1.05660,1.05660,1.05614,1.05616,110129997.2534
17.03.2015 00:51:00.000,1.05616,1.05622,1.05612,1.05622,55389999.3896
17.03.2015 00:52:00.000,1.05622,1.05625,1.05615,1.05625,54810001.3733
17.03.2015 00:53:00.000,1.05624,1.05627,1.05615,1.05615,35209999.0845
17.03.2015 00:54:00.000,1.05615,1.05624,1.05614,1.05615,121800003.0518
17.03.2015 00:55:00.000,1.05614,1.05617,1.05607,1.05608,90500000.0000
17.03.2015 00:56:00.000,1.05608,1.05618,1.05606,1.05618,71339996.3379
17.03.2015 00:57:00.000,1.05618,1.05631,1.05615,1.05631,85730003.3569
17.03.2015 00:58:00.000,1.05628,1.05636,1.05617,1.05628,80419998.1689
17.03.2015 00:59:00.000,1.05628,1.05628,1.05614,1.05625,60340000.1526
17.03.2015 01:00:00.000,1.05625,1.05625,1.05577,1.05577,111169998.1689
17.03.2015 01:01:00.000,1.05581,1.05584,1.05563,1.05564,115139999.3896
17.03.2015 01:02:00.000,1.05564,1.05565,1.05545,1.05555,113169998.1689
17.03.2015 01:03:00.000,1.05555,1.05591,1.05551,1.05583,131949996.9482
17.03.2015 01:04:00.000,1.05582,1.05585,1.05558,1.05570,84919998.1689
17.03.2015 01:05:00.000,1.05570,1.05578,1.05568,1.05576,40509998.3215
17.03.2015 01:06:00.000,1.05576,1.05576,1.05551,1.05557,109650001.5259
17.03.2015 01:07:00.000,1.05557,1.05557,1.05547,1.05549,45790000.9155
17.03.2015 01:08:00.000,1.05549,1.05560,1.05549,1.05560,44650001.5259
17.03.2015 01:09:00.000,1.05563,1.05591,1.05563,1.05581,84650001.5259
17.03.2015 01:10:00.000,1.05580,1.05600,1.05579,1.05595,83910003.6621
17.03.2015 01:11:00.000,1.05596,1.05596,1.05574,1.05574,97290000.9155
17.03.2015 01:12:00.000,1.05574,1.05577,1.05572,1.05575,28420000.0763
17.03.2015 01:13:00.000,1.05575,1.05575,1.05568,1.05568,29559999.4659
17.03.2015 01:14:00.000,1.05569,1.05577,1.05569,1.05570,25719999.3134
17.03.2015 01:15:00.000,1.05570,1.05575,1.05568,1.05568,21780000.6866
17.03.2015 01:16:00.000,1.05567,1.05567,1.05547,1.05555,72150001.5259
17.03.2015 01:17:00.000,1.05554,1.05564,1.05550,1.05564,35790000.9155
17.03.2015 01:18:00.000,1.05565,1.05568,1.05565,1.05568,18420000.0763
17.03.2015 01:19:00.000,1.05568,1.05568,1.05555,1.05555,45250000.0000
17.03.2015 01:20:00.000,1.05555,1.05562,1.05537,1.05541,88699996.9482
17.03.2015 01:21:00.000,1.05540,1.05545,1.05538,1.05543,64819999.6948
17.03.2015 01:22:00.000,1.05544,1.05548,1.05534,1.05544,64660003.6621
17.03.2015 01:23:00.000,1.05544,1.05545,1.05536,1.05545,36930000.3052
17.03.2015 01:24:00.000,1.05544,1.05550,1.05540,1.05545,42209999.0845
17.03.2015 01:25:00.000,1.05545,1.05545,1.05538,1.05538,55939998.6267
17.03.2015 01:26:00.000,1.05536,1.05536,1.05522,1.05523,58650001.5259
17.03.2015 01:27:00.000,1.05522,1.05525,1.05514,1.05520,77970001.2207
17.03.2015 01:28:00.000,1.05520,1.05522,1.05514,1.05521,58990001.6785
17.03.2015 01:29:00.000,1.05521,1.05524,1.05518,1.05520,88769996.6431
17.03.2015 01:30:00.000,1.05520,1.05526,1.05514,1.05525,44740001.6785
17.03.2015 01:31:00.000,1.05525,1.05528,1.05524,1.05525,37569999.6948
17.03.2015 01:32:00.000,1.05525,1.05529,1.05519,1.05528,56770000.4578
17.03.2015 01:33:00.000,1.05528,1.05528,1.05516,1.05521,62229999.5422
17.03.2015 01:34:00.000,1.05522,1.05526,1.05521,1.05525,19530000.6866
17.03.2015 01:35:00.000,1.05525,1.05527,1.05521,1.05527,22149999.6185
17.03.2015 01:36:00.000,1.05527,1.05529,1.05525,1.05526,29180000.3052
17.03.2015 01:37:00.000,1.05526,1.05540,1.05525,1.05540,40970001.2207
17.03.2015 01:38:00.000,1.05544,1.05545,1.05536,1.05537,29079999.9237
17.03.2015 01:39:00.000,1.05537,1.05537,1.05537,1.05537,12729999.5422
17.03.2015 01:40:00.000,1.05537,1.05538,1.05526,1.05528,42770000.4578
17.03.2015 01:41:00.000,1.05529,1.05530,1.05522,1.05529,27229999.5422
17.03.2015 01:42:00.000,1.05530,1.05540,1.05530,1.05537,34779998.7793
17.03.2015 01:43:00.000,1.05534,1.05539,1.05529,1.05539,33389999.3896
17.03.2015 01:44:00.000,1.05540,1.05540,1.05538,1.05538,9750000.0000
17.03.2015 01:45:00.000,1.05538,1.05551,1.05538,1.05548,28629999.1608
17.03.2015 01:46:00.000,1.05549,1.05569,1.05549,1.05568,57229999.5422
17.03.2015 01:47:00.000,1.05568,1.05570,1.05548,1.05548,40529998.7793
17.03.2015 01:48:00.000,1.05546,1.05548,1.05546,1.05548,7570000.1717
17.03.2015 01:49:00.000,1.05548,1.05570,1.05548,1.05568,45189998.6267
17.03.2015 01:50:00.000,1.05569,1.05580,1.05569,1.05580,31329999.9237
17.03.2015 01:51:00.000,1.05580,1.05582,1.05555,1.05565,79309997.5586
17.03.2015 01:52:00.000,1.05566,1.05581,1.05565,1.05578,47279998.7793
17.03.2015 01:53:00.000,1.05580,1.05580,1.05572,1.05572,14250000.0000
17.03.2015 01:54:00.000,1.05572,1.05586,1.05569,1.05585,68959999.0845
17.03.2015 01:55:00.000,1.05586,1.05589,1.05578,1.05584,55029998.7793
17.03.2015 01:56:00.000,1.05585,1.05604,1.05585,1.05602,45279998.7793
17.03.2015 01:57:00.000,1.05601,1.05602,1.05595,1.05595,32380001.0681
17.03.2015 01:58:00.000,1.05595,1.05610,1.05595,1.05596,91220001.2207
17.03.2015 01:59:00.000,1.05596,1.05596,1.05591,1.05595,36560001.3733
17.03.2015 02:00:00.000,1.05595,1.05601,1.05595,1.05596,42500000.0000
17.03.2015 02:01:00.000,1.05596,1.05608,1.05589,1.05607,33610000.6104
